# Известные битые относительные ссылки в markdown.
# Перезаписывается `python scripts/check_doc_links.py --update`.
# Новая ссылка, которой здесь нет, роняет гейт; починенную --update уберёт.
# файл	цель	класс	где цель на самом деле
bugs/BUG-655-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-655-OPEN.md	BUG-596-OPEN.md	stale-status-suffix	bugs/BUG-596-FIXED.md
bugs/BUG-671-OPEN.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-671-OPEN.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-671-OPEN.md	BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
bugs/BUG-676-FIXED.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-676-FIXED.md	BUG-464-OPEN.md	stale-status-suffix	bugs/BUG-464-FIXED.md
bugs/BUG-676-FIXED.md	BUG-477-OPEN.md	stale-status-suffix	bugs/BUG-477-DUPLICATE.md
bugs/BUG-676-FIXED.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-676-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-678-OPEN.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-678-OPEN.md	BUG-354-OPEN.md	stale-status-suffix	bugs/BUG-354-FIXED.md
bugs/BUG-678-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-680-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-682-OPEN.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-682-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-684-OPEN.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-686-OPEN.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
